experiment,benchmark,task,model,regime,split,baseline,status,result_available,result_valid,reason_if_invalid,missing_action,priority
sync,repo,viral-benchmark-continuation,NA,NA,NA,NA,DONE,true,true,NA,"Source branch synced: HEAD equals origin/viral-benchmark-continuation at 2cf5c967ce6739026e7fabd2381b394b5add4b64.",P0
splice_positive_control,NT splice,splice_all_acceptors_donors,NT-v2,full_FT,chromosome-disjoint,strong CNN ladder,DONE,true,true,NA,"Carry forward only as small-margin positive control: +0.0099 to +0.0146, not old weak-CNN gap.",P0
lucavirus,ViroBench,LucaVirus readout,LucaVirus,frozen probe,temporal,matched kmer/alignment,WITHDRAWN,true,true,NA,"Do not reuse +0.079; current docs say -0.279 to -0.294 across layers.",P0
hvue_path_trans,HVUE,Pathogenecity_Transmissibility,gLM/CNN,probe/CNN,identity-disjoint,NA,UNEVALUABLE,true,true,NA,"Do not count as negative; homology-clean test rows are 96/5194 and 60/4956.",P0
hvue_host_tropism,HVUE,Host_Tropism,NT-v2,probe,strict easy-search,CNN ladder,DONE,true,true,NA,"Report tiny positive +0.0059 over CNN; not a viral anchor by itself.",P0
virobench_family,ViroBench,ALL_times_family,NT-v2/family models,frozen probe,temporal,kmer3-5 plus alignment,DONE,true,true,NA,"Alignment nearest-hit is strongest comparator; no gLM advantage at matched context.",P0
geneb_a1_loader,GENEB,13 sentinel tasks,CNN ladder,CNN end-to-end,official train/dev/test,max(kmer,CNN),PARTIAL,true,true,NA,"Implemented capacity_sweep --dataset geneb loader and split manifest; populate VB_GENEB_DIR before running.",P1
geneb_a1_experiment,GENEB,13 sentinel tasks,CNN ladder,formal training,official train/dev/test,max(kmer,CNN),BLOCKED,false,false,"GENEB data not found locally; Slurm unavailable; GPU driver/library mismatch.","Provide VB_GENEB_DIR and working GPU/scheduler, then run scripts/orchestration/launch_group1.sh --submit.",P1
geneb_canonical_source,GENEB,13 sentinel tasks,NA,data provenance,official split,NA,BLOCKED,false,false,"Branch docs/history do not contain a complete 13-task sentinel manifest or canonical data version/checksum.","Provide VB_GENEB_TASK_MANIFEST with the 13 canonical task IDs before full Group 1 submission.",P1
geneb_probe_layer_sweep,GENEB,13 sentinel tasks,NT-v2_GENA-LM_HyenaDNA,frozen probe layer sweep,official train/dev/test,CNN/kmer comparator,BLOCKED,false,false,"No GENEB data and no GENEB probe runner yet; existing docs say prior probes used hidden_states[-1].","After data is staged, add/launch branch-approved layer-swept probe jobs with dev-only layer selection.",P1
g1b_long_context_inventory,longer_context,Borzoi-style_Akita_Enformer_candidates,NA,candidate_inventory,NA,kmer_CNN_endpoint_controls,PARTIAL,true,true,NA,"Candidate matrix created; no A2-scale experiment launched before manual approval.",P1
group2_a2,long_range_expression_variant,Borzoi_style_anchor,NA,DEFINED_ONLY,NA,local_to_long_context_CNN,NOT_LAUNCHED,false,true,NA,"Resolve GCP/corral/data access only after manual Group 2 approval.",P2
group3_b1,ProteinGym viral,22 assays,pLM,supervised adaptation,NA,one-hot_biochemical_control,DEFINED_ONLY,false,true,NA,"Do not launch before manual Group 3 approval.",P3
group3_b3,ViroBench,genus split,gLM,probe_fullFT,genus withheld,kmer_alignment_CNN,DEFINED_ONLY,false,true,NA,"Do not launch before manual Group 3 approval.",P3
group4_s1,all benchmarks,easy-search re-audit,NA,split audit,NA,NA,DEFINED_ONLY,false,true,NA,"Do not launch before manual Group 4 approval.",P4
